id,official_name,alias_name,total_leaf_node
01,กระทรวงกลาโหม,,320
02,กระทรวงการคลัง,,824
03,กระทรวงการต่างประเทศ,,1
04,กระทรวงการท่องเที่ยวและกีฬา,,335
05,กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,,378
06,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,,2234
07,กระทรวงคมนาคม,,823
08,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,325
09,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,996
10,กระทรวงพลังงาน,,136
11,กระทรวงพาณิชย์,,226
12,กระทรวงมหาดไทย,,2294
13,กระทรวงยุติธรรม,,739
14,กระทรวงวัฒนธรรม,,243
15,กระทรวงศึกษาธิการ,,613
16,กระทรวงสาธารณสุข,,471
17,กระทรวงอุตสาหกรรม,,289
18,กระทรวงเกษตรและสหกรณ์,,1724
19,กระทรวงแรงงาน,,492
20,กองทุนและเงินทุนหมุนเวียน,,10
21,จังหวัดและกลุ่มจังหวัด,,94
22,รัฐวิสาหกิจ,,1872
23,ศาล,,277
24,สภากาชาดไทย,,28
25,สำนักงานตำรวจแห่งชาติ,,1
26,สำนักนายกรัฐมนตรี,,652
27,ส่วนราชการในพระองค์,,1
28,ส่วนราชการไม่สังกัดสำนักนายกรัฐมนตรี กระทรวง หรือทบวง และหน่วยงานภายใต้การควบคุมดูแลของนายกรัฐมนตรี,,368
29,หน่วยงานของรัฐสภา,,65
30,หน่วยงานของศาล,,148
31,หน่วยงานขององค์กรอิสระและองค์กรอัยการ,,520
32,หน่วยงานขึ้นตรงนายกรัฐมนตรี,,363
33,หน่วยงานอิสระ,,537
34,หน่วยงานอื่นของรัฐ,,25
35,หน่วยงานอื่นๆ,,81
36,องค์กรปกครองส่วนท้องถิ่น,,78
37,องค์กรอิสระ,,105
01001,กรมทหารราบที่ 17,,1
01002,กระทรวงกลาโหม,,8
01003,กองทัพบก,,126
01004,กองทัพภาคที่ 2 กองทัพบก,,1
01005,กองทัพภาคที่ 3 (กองกำลังผาเมือง),,1
01006,กองทัพอากาศ,,54
01007,กองทัพเรือ,,54
01008,กองบัญชาการกองทัพไทย,,38
01009,บริษัท อู่กรุงเทพ จำกัด,,8
01010,สถานีวิทยุโทรทัศน์กองทัพบก,,0
01011,สถาบันเทคโนโลยีป้องกันประเทศ,,6
01012,สำนักงานปลัดกระทรวงกลาโหม,,22
01013,สำนักงานรัฐมนตรีกระทรวงกลาโหม,,1
02001,กรมธนารักษ์,,30
02002,กรมบัญชีกลาง,,101
02003,กรมศุลกากร,,75
02004,กรมสรรพสามิต,,109
02005,กรมสรรพากร,,154
02006,กองทุนการออมแห่งชาติ,,2
02007,กองทุนบำเหน็จบำนาญข้าราชการ,,3
02008,กองทุนเงินให้กู้ยืมเพื่อการศึกษา,,0
02009,คณะกรรมการส่งเสริมวิสาหกิจเริ่มต้น,,0
02010,ธนาคารกรุงไทย จำกัด (มหาชน),,1
02011,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,,1
02012,ธนาคารออมสิน,,1
02013,ธนาคารอาคารสงเคราะห์,,1
02014,ธนาคารอิสลามแห่งประเทศไทย,,2
